date,voltage,current,power,energy,frequency,power_factor,alarm
2022-12-23 00:45,227.06221201127082,0.7245801728601471,104.34516704785884,30175,50.0,0.6315026474010665,0.0
2022-12-23 00:50,227.12290585137762,0.7219574097844077,104.61161142419101,30184,50.0,0.6393540549092722,0.0
2022-12-23 00:55,227.11743980958738,0.6735738236769617,87.80980090797505,30193,50.0,0.5718063366610999,0.0
2022-12-23 01:00,226.45862811365785,0.26029509225876346,30.9013858563722,30201,49.95,0.5223960592663047,0.0
2022-12-23 01:05,226.42720815401336,0.25608645729546375,30.04910236966051,30204,49.9940437309729,0.521067611556722,0.0
2022-12-23 01:10,225.7070698266838,0.25655864619523316,29.843570834415395,30207,49.99999999999996,0.5189389965165988,0.0
2022-12-23 01:15,225.98864551219486,0.25846150937285384,30.440790461109394,30209,50.0,0.5203339516936691,0.0
2022-12-23 01:20,225.91356765319057,0.25939013518507875,30.661154295058303,30212,50.0,0.5229247777939672,0.0
2022-12-23 01:25,225.73603938827057,0.25145695726654566,28.548403810249326,30214,49.99999999999996,0.5033665188556566,0.0
2022-12-23 01:30,225.80590343436376,0.26129631454083124,31.115939920049236,30217,50.0,0.5260708643558525,0.0
2022-12-23 01:35,225.285491091719,0.2584845433129107,30.495296535594285,30219,49.99999370565633,0.5257026922823216,0.0
2022-12-23 01:40,225.23629501530166,0.25426373856879125,29.205688371391105,30222,49.94912109364511,0.5088650784193499,0.0
2022-12-23 01:45,225.47509079402676,0.2554658116924099,29.574514906011842,30224,49.9999969407887,0.5104116580954366,0.0
2022-12-23 01:50,225.77189795740287,0.2579935458948531,30.681326755697985,30227,49.99999999962165,0.5247530049281603,0.0
2022-12-23 01:55,225.84631432530284,0.25447781413822745,29.70330766527134,30230,49.99960936902498,0.5171962909502156,0.0
2022-12-23 02:00,225.7502675350275,0.2554616130213036,29.971263798159455,30232,50.0,0.5184908001236681,0.0
2022-12-23 02:05,225.9594392760025,0.25705021890935503,30.582543673439364,30234,49.903136206215095,0.5249882091995435,0.0
2022-12-23 02:10,225.87209820705547,0.2579195389256288,30.48818272487607,30237,49.977447724342525,0.5247298458707946,0.0
2022-12-23 02:15,225.79119167340738,0.25433434435364083,29.92541142271825,30240,49.95043900922084,0.5182032658272031,0.0
2022-12-23 02:20,226.0461686151856,0.2537325675783543,29.675854258305076,30242,49.999365020163154,0.5170817234843632,0.0
2022-12-23 02:25,225.74014397133027,0.252990419982779,29.23564724289463,30245,49.99941177362343,0.510682499660845,0.0
2022-12-23 02:30,226.01523452688053,0.25848000427967743,30.945465137570928,30247,50.0,0.53209083935984,0.0
2022-12-23 02:35,225.95020173487495,0.25567354758462124,29.92408042127846,30250,49.999998461361976,0.5204856194637407,0.0
2022-12-23 02:40,225.9236350453488,0.25189825741089433,29.3742618826278,30252,49.99996939897246,0.5163912645791782,0.0
2022-12-23 02:45,226.21313323120233,0.2580604033534984,30.665771790744827,30255,49.999989878909766,0.527692340779189,0.0
2022-12-23 02:50,225.7108458859736,0.25433397456020357,28.86504399176075,30257,49.999999701231715,0.5039020456318011,0.0
2022-12-23 02:55,225.79411403014387,0.2592091167668848,30.565431695394665,30260,49.99979248046875,0.52092473168145,0.0
2022-12-23 03:00,225.41273694016326,0.25492573148323183,29.374152081876552,30262,50.0,0.5122945058220939,0.0
2022-12-23 03:05,225.24872336267833,0.26025567099117297,30.76204622564228,30265,49.96468338975977,0.5244031747982199,0.0
2022-12-23 03:10,224.77911692549588,0.8293705012967254,127.42628159480212,30267,49.92540909290008,0.6804150318351458,0.0
2022-12-23 03:15,224.9497451364847,0.8436787253523308,129.04990063047956,30277,49.999995040612575,0.6800000000186266,0.0
2022-12-23 03:20,224.650954145036,0.7877158462680895,118.50718259976772,30288,49.9998046875,0.670087242126465,0.0
2022-12-23 03:25,224.89685453809005,0.7408695171799542,109.9098644478791,30298,49.93426508903012,0.660000000000091,0.0
